번호,종목코드,종목명,시장구분,사업연도,결산월,업종,업종별 배당률,주식배당,현금배당_액면가,현금배당_주당배당금,현금배당_시가배당률,현금배당_배당성향,현금배당_기말주식수,현금배당_총배당금액
190,001250,GS글로벌,KOSPI,"2,022",12,유통,2.79,-,"2,500",-,-,-,"82,533,764",-
191,001250,GS글로벌,KOSPI,"2,023",12,유통,2.13,-,"2,500",25,1,7.908,"82,533,764","2,062,380,050"
192,001250,GS글로벌,KOSPI,"2,024",12,유통,2.73,-,"2,500",25,0.9,3.678,"82,533,764","2,062,380,050"
193,007070,GS리테일,KOSPI,"2,023",12,유통,2.13,-,"1,000",500,2.1,233.516,"104,717,922","51,719,128,000"
194,007070,GS리테일,KOSPI,"2,024",12,유통,2.73,-,"1,000",500,3.2,426.703,"83,607,415","41,782,795,000"
195,007070,GS리테일,KOSPI,"2,022",12,유통,2.79,-,"1,000",430,1.5,92.286,"104,717,922","43,937,410,750"
196,499790,GS피앤엘,KOSPI,"2,024",12,기타금융,-,-,"1,000",-,-,-,"19,830,841",-
197,499790,GS피앤엘,KOSPI,"2,022",12,-,-,-,-,-,-,-,-,-
198,499790,GS피앤엘,KOSPI,"2,023",12,-,-,-,-,-,-,-,-,-
199,297890,HB솔루션,KOSDAQ,"2,024",12,기계·장비,0.68,-,500,30,1.08,-10.572,"73,140,914","2,194,227,420"
200,297890,HB솔루션,KOSDAQ,"2,022",12,기계·장비,0.77,-,500,150,1.18,5.62,"16,720,093","2,449,910,850"
201,297890,HB솔루션,KOSDAQ,"2,023",12,기계·장비,0.49,-,500,30,0.61,2.747,"69,242,637","2,077,279,110"
202,440290,HB인베스트먼트,KOSDAQ,"2,022",12,-,-,-,-,-,-,-,-,-
203,440290,HB인베스트먼트,KOSDAQ,"2,023",12,-,-,-,-,-,-,-,-,-
204,440290,HB인베스트먼트,KOSDAQ,"2,024",12,금융,0.71,-,500,200,12.1,89.803,"27,107,010","5,421,402,000"
205,078150,HB테크놀러지,KOSDAQ,"2,024",12,기계·장비,0.68,-,500,20,1.02,-3.444,"92,715,916","1,777,092,360"
206,078150,HB테크놀러지,KOSDAQ,"2,022",12,기계·장비,0.77,-,500,20,1.04,5.524,"78,990,426","1,503,062,560"
207,078150,HB테크놀러지,KOSDAQ,"2,023",12,기계·장비,0.49,-,500,20,0.8,2.241,"92,715,916","1,777,092,360"
208,225530,HC보광산업,KOSDAQ,"2,022",12,비금속,1.55,-,500,150,2.5,45.145,"36,338,727","5,450,782,650"
209,225530,HC보광산업,KOSDAQ,"2,024",12,비금속,1.89,-,500,150,3,104.062,"36,338,727","5,450,782,650"
210,225530,HC보광산업,KOSDAQ,"2,023",12,비금속,1.47,-,500,300,2.8,65.428,"36,338,727","10,901,565,300"
